id,date,days_after_open,day_of_week,hours_after_open,drink_id,name,unit_price,quantity,raining,study_area_id,study_area_name,dist_to_cafe
0,2019/7/22,0,Mon,0,5,Flat White (L),4.9,1,No,3,Abercrombie (H70),700
1,2019/7/22,0,Mon,0,5,Flat White (L),4.9,1,No,1,Law Library (F10),84
2,2019/7/22,0,Mon,0,2,Macchiato,3.8,1,No,1,Law Library (F10),84
3,2019/7/22,0,Mon,0,2,Macchiato,3.8,1,No,5,Carslaw (F07),150
4,2019/7/22,0,Mon,0,5,Flat White (L),4.9,1,No,5,Carslaw (F07),150
5,2019/7/22,0,Mon,0,9,Cappuccino (L),4.9,1,Yes,5,Carslaw (F07),150
6,2019/7/22,0,Mon,0,16,Hot Chocolate (S),3.8,1,Yes,1,Law Library (F10),84
7,2019/7/22,0,Mon,0,5,Flat White (L),4.9,1,No,6,Peter Nicol Russell (PNR),950
8,2019/7/22,0,Mon,0,11,Chai Latte (L),4.4,1,No,2,The Quarter (A16),400
9,2019/7/22,0,Mon,0,9,Cappuccino (L),4.9,1,Yes,1,Law Library (F10),84
10,2019/7/22,0,Mon,0,4,Long Black (S),3.8,2,No,0,Fisher Library (F03),70
11,2019/7/22,0,Mon,1,10,Cappuccino (S),4,1,No,2,The Quarter (A16),400
12,2019/7/22,0,Mon,1,10,Cappuccino (S),4,1,No,5,Carslaw (F07),150
13,2019/7/22,0,Mon,1,0,Espresso,3.5,1,No,2,The Quarter (A16),400
14,2019/7/22,0,Mon,1,8,Latte (S),4,1,Yes,5,Carslaw (F07),150
15,2019/7/22,0,Mon,1,6,Flat White (S),4,1,No,0,Fisher Library (F03),70
16,2019/7/22,0,Mon,1,10,Cappuccino (S),4,1,No,5,Carslaw (F07),150
17,2019/7/22,0,Mon,1,2,Macchiato,3.8,1,No,1,Law Library (F10),84
18,2019/7/22,0,Mon,1,2,Macchiato,3.8,1,No,1,Law Library (F10),84
19,2019/7/22,0,Mon,1,5,Flat White (L),4.9,1,No,5,Carslaw (F07),150
20,2019/7/22,0,Mon,1,0,Espresso,3.5,1,No,2,The Quarter (A16),400
21,2019/7/22,0,Mon,1,5,Flat White (L),4.9,1,No,0,Fisher Library (F03),70
22,2019/7/22,0,Mon,1,4,Long Black (S),3.8,1,No,6,Peter Nicol Russell (PNR),950
24,2019/7/22,0,Mon,2,13,Mocha (L),5.4,1,No,5,Carslaw (F07),150
25,2019/7/22,0,Mon,2,5,Flat White (L),4.9,1,No,5,Carslaw (F07),150
26,2019/7/22,0,Mon,2,13,Mocha (L),5.4,1,No,2,The Quarter (A16),400
27,2019/7/22,0,Mon,2,1,Ristretto,3.3,1,No,3,Abercrombie (H70),700
29,2019/7/22,0,Mon,2,3,Long Black (L),4,1,No,0,Fisher Library (F03),70
30,2019/7/22,0,Mon,3,10,Cappuccino (S),4,1,No,0,Fisher Library (F03),70
